,oid_,state,stateabbrv,county,population,buildvalue,agrivalue,area,risk_score,risk_ratng,risk_spctl,eal_score,eal_ratng,eal_spctl,sovi_score,sovi_ratng,sovi_spctl,resl_score,resl_ratng,resl_spctl,avln_evnts,avln_risks,avln_riskr,cfld_evnts,cfld_risks,cfld_riskr,cwav_evnts,cwav_risks,cwav_riskr,drgt_evnts,drgt_risks,drgt_riskr,erqk_evnts,erqk_risks,erqk_riskr,hail_evnts,hail_risks,hail_riskr,hwav_evnts,hwav_risks,hwav_riskr,hrcn_evnts,hrcn_risks,hrcn_riskr,istm_evnts,istm_risks,istm_riskr,lnds_evnts,lnds_risks,lnds_riskr,ltng_evnts,ltng_risks,ltng_riskr,rfld_evnts,rfld_risks,rfld_riskr,swnd_evnts,swnd_risks,swnd_riskr,trnd_evnts,trnd_risks,trnd_riskr,tsun_evnts,tsun_risks,tsun_riskr,vlcn_evnts,vlcn_risks,vlcn_riskr,wfir_evnts,wfir_risks,wfir_riskr,wntw_evnts,wntw_risks,wntw_riskr,nri_ver,fulllocation,longitude,latitude
1,1,alabama,AL,autauga,58764,9.12E+09,24613998,6.10E+02,49.22048998,Relatively Low,34.3283582,50.94398019,Very Low,40.2985075,51.3,Relatively Moderate,0.208955224,51.81,Relatively Moderate,0.791044776,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,651,50.65224,Relatively Low,NA,57.07922367,Very Low,96,57.1110404,Relatively Low,6.00E+00,87.08241,Relatively Moderate,13,67.6536564,Relatively Low,28,23.85076616,Very Low,0,41.76036,Relatively Low,1737,54.24710425,Relatively Low,26,52.24308,Relatively Low,45,43.9707286,Relatively Low,39,73.84664333,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,29.62138085,Very Low,7.00E+00,12.217626,Very Low,23-Mar,"autauga, alabama",-86.6547,32.43402
2,2,alabama,AL,baldwin,231365,4.60E+10,138089013,2.05E+03,97.70919504,Relatively High,98.5074627,98.2358403,Relatively High,98.5074627,31.03,Relatively Low,0.029850746,86.12,Very High,1,NA,NA,Not Applicable,NA,55.93561,Relatively Low,0,0,No Rating,434,86.79605,Relatively Moderate,NA,69.1695832,Relatively Low,43,52.943048,Relatively Low,1.24E+01,91.09131,Relatively Moderate,50,98.8784208,Relatively High,11,32.6449034,Relatively Low,1,72.502409,Relatively Low,2560,99.38867439,Very High,65,87.941457,Relatively Moderate,52,53.7702832,Relatively Low,68,91.37766465,Relatively Moderate,NA,NA,Insufficient Data,NA,NA,Not Applicable,NA,92.65033408,Relatively Moderate,2.42E+00,52.083996,Relatively Low,23-Mar,"baldwin, alabama",-87.77633,30.60107
3,3,alabama,AL,barbour,25160,4.85E+09,121075758,9.14E+02,56.18835507,Relatively Low,41.7910448,44.87774683,Very Low,37.3134328,99.27,Very High,1,6.24,Very Low,0.029850746,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,1064,80.68724,Relatively Low,NA,44.00254534,Very Low,65,39.9936366,Very Low,6.00E+00,69.71047,Relatively Low,21,77.1646478,Relatively Low,27,18.88740839,Very Low,0,70.799872,Relatively Low,1643,82.3037323,Relatively Moderate,6,13.967547,Very Low,50,35.5074769,Relatively Low,34,73.94209354,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,27.26694241,Very Low,3.00E+00,19.535476,Very Low,23-Mar,"barbour, alabama",-85.35496,31.81729
4,4,alabama,AL,bibb,22239,3.15E+09,4819356,6.32E+02,32.48488705,Very Low,19.4029851,30.48591767,Very Low,20.8955224,80.78,Very High,0.731343284,19.73,Very Low,0.313432836,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,721,32.42125,Very Low,NA,61.69265033,Very Low,118,43.684378,Very Low,6.00E+00,67.22876,Relatively Low,11,51.0991476,Very Low,28,43.63757495,Relatively Low,0,41.85673,Relatively Low,1861,39.83268983,Relatively Low,16,25.167038,Very Low,50,23.2580337,Relatively Low,27,71.96945593,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,15.04931594,Very Low,1.20E+01,11.104041,Very Low,23-Mar,"bibb, alabama",-87.14229,32.95628
5,5,alabama,AL,blount,58992,7.82E+09,278570859,6.57E+02,65.12885778,Relatively Low,55.2238806,63.63354998,Relatively Low,58.2089552,51.37,Relatively Moderate,0.223880597,22.82,Relatively Low,0.462686567,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,665,52.14763,Relatively Low,NA,73.08304168,Relatively Low,174,43.7161947,Very Low,6.00E+00,82.43716,Relatively Moderate,6,54.0152535,Very Low,35,59.92671552,Relatively Moderate,0,46.675233,Relatively Low,1954,84.07335907,Relatively Moderate,28,34.266624,Very Low,146,76.1056316,Relatively Moderate,50,89.7231944,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,19.63092587,Very Low,1.40E+01,21.44448,Very Low,23-Mar,"blount, alabama",-86.49965,34.01452
6,6,alabama,AL,bullock,10326,1.58E+09,77099940,6.31E+02,32.45307031,Very Low,17.9104478,27.11234912,Very Low,19.4029851,83.1,Very High,0.76119403,17.98,Very Low,0.253731343,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,1022,95.03659,Relatively Moderate,NA,36.43016227,Very Low,80,24.0216354,Very Low,6.00E+00,45.17976,Relatively Low,20,68.1920144,Relatively Low,34,9.29380413,Very Low,0,61.194989,Relatively Low,1586,57.52895753,Relatively Low,8,19.153675,Very Low,52,21.4444798,Very Low,21,47.6296532,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,9.48138721,Very Low,4.00E+00,10.881324,Very Low,23-Mar,"bullock, alabama",-85.72564,32.05735
7,7,alabama,AL,butler,19015,3.45E+09,151442073,7.86E+02,54.05663379,Relatively Low,40.2985075,51.3463324,Very Low,41.7910448,68.43,Relatively High,0.492537313,39.59,Relatively Low,0.597014925,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,567,58.54279,Relatively Low,NA,43.9707286,Very Low,60,20.1399936,Very Low,8.00E+00,58.73369,Relatively Low,17,80.2602064,Relatively Low,16,7.36175883,Very Low,0,53.549631,Relatively Low,1886,81.14543115,Relatively Moderate,12,30.544066,Very Low,58,35.9529112,Relatively Low,23,58.86096087,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,14.60388164,Very Low,3.00E+00,13.299395,Very Low,23-Mar,"butler, alabama",-88.22197,32.08959
8,8,alabama,AL,calhoun,116250,2.27E+10,99562754,6.18E+02,84.37798282,Relatively Moderate,80.5970149,82.72980501,Relatively Low,82.0895522,73.49,Relatively High,0.626865672,46.72,Relatively Moderate,0.731343284,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,672,50.04773,Very Low,NA,82.6598791,Relatively Low,176,64.4288896,Relatively Low,5.00E+00,89.50048,Relatively Moderate,5,69.8968147,Relatively Low,19,29.61359094,Very Low,1,91.937038,Relatively Moderate,1941,79.63320463,Relatively Moderate,24,66.942412,Relatively Low,95,79.0964047,Relatively Moderate,28,97.20012727,Relatively High,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,26.56697423,Very Low,1.70E+01,37.671015,Relatively Low,23-Mar,"calhoun, alabama",-85.80766,33.77016
9,9,alabama,AL,chambers,34738,5.99E+09,10396882,6.09E+02,42.34807509,Very Low,26.8656716,34.78799133,Very Low,25.3731343,80.74,Very High,0.71641791,40.13,Relatively Moderate,0.611940299,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,1428,36.6847,Very Low,NA,63.538021,Very Low,131,31.403118,Very Low,6.00E+00,79.38276,Relatively Moderate,15,70.0314042,Relatively Low,35,50.93271153,Relatively Low,0,59.106971,Relatively Low,1358,59.04118404,Relatively Low,18,47.184219,Relatively Low,41,31.7849189,Relatively Low,19,65.06522431,Relatively Low,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,29.33503023,Very Low,9.00E+00,12.663061,Very Low,23-Mar,"chambers, alabama",-85.35496,32.9028
10,10,alabama,AL,cherokee,24933,4.43E+09,174425903,6.06E+02,42.06172447,Very Low,25.3731343,42.06128134,Very Low,32.8358209,32.69,Relatively Low,0.059701493,13.59,Very Low,0.149253731,NA,NA,Not Applicable,NA,NA,Not Applicable,0,0,No Rating,784,63.56984,Relatively Low,NA,71.68310531,Relatively Low,182,33.693923,Very Low,5.00E+00,64.74706,Relatively Low,5,53.2077165,Very Low,29,40.53964024,Relatively Low,0,38.805011,Relatively Low,1700,53.21750322,Relatively Low,19,37.352848,Relatively Low,101,32.6757875,Relatively Low,15,76.26471524,Relatively Moderate,NA,NA,Not Applicable,NA,NA,Not Applicable,NA,4.67706013,Very Low,1.50E+01,12.726694,Very Low,23-Mar,"cherokee, alabama",-87.97281,34.75703
